id,fen,plies
KNKRP,8/8/8/8/3N4/p7/3r4/k1K5 w - - ,15
KNKQP,8/8/8/q7/8/p7/3N4/k1K5 w - - ,15
KBBKP,8/8/8/8/1B1k4/3B2p1/5K2/8 w - - ,147
KRBKP,8/8/8/8/8/1R1K4/kB1p4/8 w - - ,55
KQBKP,8/7Q/1k3K2/8/8/8/p7/5B2 w - - ,63
KBKNP,1B6/8/8/8/8/8/p7/k2K2n1 w - - ,17
KBKBP,8/8/8/8/8/8/p7/kbBK4 w - - ,5
KBKRP,8/8/8/8/8/8/p3r3/k1K1B3 w - - ,3
KBKQP,8/8/8/8/8/8/p3q3/k1K1B3 w - - ,3
KRRKP,8/8/1R6/8/8/8/1R1p4/2k1K3 w - - ,65
KQRKP,8/Q7/R7/8/8/8/1p6/K1k5 w - - ,79
KRKNP,k4K2/p7/8/8/8/8/4R3/7n w - - ,133
KRKBP,8/7p/8/8/k1K5/6R1/8/b7 w - - ,77
KRKRP,7R/8/8/k7/8/r7/Kp6/8 w - - ,65
KRKQP,7R/8/8/k7/8/q7/Kp6/8 w - - ,65
KQQKP,8/8/8/3Q4/7Q/2k5/1p6/K7 w - - ,43
KQKNP,8/7Q/8/K7/8/8/3p4/n1k5 w - - ,109
KQKBP,4K3/8/8/8/8/6Q1/kp1b4/8 w - - ,99
KQKRP,8/7Q/7K/2r5/2p5/8/1k6/8 w - - ,207
KQKQP,2Qq4/2K5/8/8/8/8/4p3/2k5 w - - ,57
KKNNP,,
KKBNP,,
KKRNP,,
KKQNP,,
KKBBP,,
KKRBP,,
KKQBP,,
KKRRP,,
KKQRP,,
KKQQP,,
KNPPK,N7/1k5K/8/8/8/1P6/1P6/8 w - - ,63
KBPPK,B7/1K6/8/8/8/3k3P/7P/8 w - - ,49
KRPPK,8/8/8/8/2kP4/8/1R1P4/K7 w - - ,29
KQPPK,2K5/8/8/8/8/2P4Q/2P5/k7 w - - ,17
KPPKN,3n4/5P2/8/8/3K2P1/8/k7/8 w - - ,99
